episode=110, steps=956, epsilon=0.0100, server_farm_reward=644.1300, server_reward=556.0900, episode_total_reward=1200.2200, avg_reward_per_step=1.2555, rejected_tasks=60, completed_jobs=56, wall_time=175.7
episode=111, steps=834, epsilon=0.0100, server_farm_reward=532.3300, server_reward=453.4000, episode_total_reward=985.7300, avg_reward_per_step=1.1819, rejected_tasks=54, completed_jobs=55, wall_time=160.49
episode=112, steps=894, epsilon=0.0100, server_farm_reward=556.5200, server_reward=467.2300, episode_total_reward=1023.7500, avg_reward_per_step=1.1451, rejected_tasks=79, completed_jobs=58, wall_time=159.82
episode=113, steps=866, epsilon=0.0100, server_farm_reward=555.9600, server_reward=472.7600, episode_total_reward=1028.7200, avg_reward_per_step=1.1879, rejected_tasks=84, completed_jobs=56, wall_time=162.39
episode=114, steps=806, epsilon=0.0100, server_farm_reward=501.8200, server_reward=420.4100, episode_total_reward=922.2300, avg_reward_per_step=1.1442, rejected_tasks=69, completed_jobs=56, wall_time=162.23
episode=115, steps=868, epsilon=0.0100, server_farm_reward=570.2000, server_reward=483.6000, episode_total_reward=1053.8000, avg_reward_per_step=1.2141, rejected_tasks=39, completed_jobs=55, wall_time=178.31
episode=116, steps=982, epsilon=0.0100, server_farm_reward=658.3300, server_reward=558.9900, episode_total_reward=1217.3200, avg_reward_per_step=1.2396, rejected_tasks=30, completed_jobs=59, wall_time=202.08
episode=117, steps=918, epsilon=0.0100, server_farm_reward=613.9400, server_reward=520.2700, episode_total_reward=1134.2100, avg_reward_per_step=1.2355, rejected_tasks=49, completed_jobs=58, wall_time=169.86
episode=118, steps=1018, epsilon=0.0100, server_farm_reward=697.0800, server_reward=596.8200, episode_total_reward=1293.9000, avg_reward_per_step=1.2710, rejected_tasks=19, completed_jobs=58, wall_time=188.54
episode=119, steps=828, epsilon=0.0100, server_farm_reward=515.4100, server_reward=440.1400, episode_total_reward=955.5500, avg_reward_per_step=1.1540, rejected_tasks=85, completed_jobs=56, wall_time=207.34
episode=120, steps=716, epsilon=0.0100, server_farm_reward=431.3400, server_reward=359.6300, episode_total_reward=790.9700, avg_reward_per_step=1.1047, rejected_tasks=99, completed_jobs=52, wall_time=153.91
episode=121, steps=862, epsilon=0.0100, server_farm_reward=568.5300, server_reward=473.5500, episode_total_reward=1042.0800, avg_reward_per_step=1.2089, rejected_tasks=46, completed_jobs=57, wall_time=161.85
episode=122, steps=836, epsilon=0.0100, server_farm_reward=526.4200, server_reward=444.9800, episode_total_reward=971.4000, avg_reward_per_step=1.1620, rejected_tasks=81, completed_jobs=57, wall_time=164.95
episode=123, steps=814, epsilon=0.0100, server_farm_reward=506.1600, server_reward=418.8300, episode_total_reward=924.9900, avg_reward_per_step=1.1364, rejected_tasks=61, completed_jobs=57, wall_time=156.88
episode=124, steps=842, epsilon=0.0100, server_farm_reward=528.3600, server_reward=455.0300, episode_total_reward=983.3900, avg_reward_per_step=1.1679, rejected_tasks=67, completed_jobs=56, wall_time=142.54
episode=125, steps=810, epsilon=0.0100, server_farm_reward=467.6700, server_reward=397.1500, episode_total_reward=864.8200, avg_reward_per_step=1.0677, rejected_tasks=87, completed_jobs=53, wall_time=169.13
episode=126, steps=850, epsilon=0.0100, server_farm_reward=564.7900, server_reward=472.7100, episode_total_reward=1037.5000, avg_reward_per_step=1.2206, rejected_tasks=58, completed_jobs=57, wall_time=131.99
episode=127, steps=878, epsilon=0.0100, server_farm_reward=542.1500, server_reward=460.8000, episode_total_reward=1002.9500, avg_reward_per_step=1.1423, rejected_tasks=60, completed_jobs=55, wall_time=140.56
episode=128, steps=866, epsilon=0.0100, server_farm_reward=523.6100, server_reward=450.3100, episode_total_reward=973.9200, avg_reward_per_step=1.1246, rejected_tasks=114, completed_jobs=54, wall_time=146.42
episode=129, steps=928, epsilon=0.0100, server_farm_reward=605.1800, server_reward=513.4900, episode_total_reward=1118.6700, avg_reward_per_step=1.2055, rejected_tasks=42, completed_jobs=56, wall_time=134.11
episode=130, steps=1012, epsilon=0.0100, server_farm_reward=671.5600, server_reward=564.3000, episode_total_reward=1235.8600, avg_reward_per_step=1.2212, rejected_tasks=32, completed_jobs=58, wall_time=144.58
episode=131, steps=832, epsilon=0.0100, server_farm_reward=503.4100, server_reward=420.0900, episode_total_reward=923.5000, avg_reward_per_step=1.1100, rejected_tasks=75, completed_jobs=55, wall_time=148.52
episode=132, steps=840, epsilon=0.0100, server_farm_reward=558.1300, server_reward=473.0800, episode_total_reward=1031.2100, avg_reward_per_step=1.2276, rejected_tasks=59, completed_jobs=56, wall_time=199.0
episode=133, steps=894, epsilon=0.0100, server_farm_reward=590.2300, server_reward=499.3300, episode_total_reward=1089.5600, avg_reward_per_step=1.2187, rejected_tasks=50, completed_jobs=56, wall_time=162.18
episode=134, steps=988, epsilon=0.0100, server_farm_reward=659.8500, server_reward=562.6200, episode_total_reward=1222.4700, avg_reward_per_step=1.2373, rejected_tasks=47, completed_jobs=59, wall_time=161.08
episode=135, steps=848, epsilon=0.0100, server_farm_reward=556.1200, server_reward=474.7100, episode_total_reward=1030.8300, avg_reward_per_step=1.2156, rejected_tasks=63, completed_jobs=55, wall_time=163.19
episode=136, steps=912, epsilon=0.0100, server_farm_reward=624.0500, server_reward=532.6900, episode_total_reward=1156.7400, avg_reward_per_step=1.2684, rejected_tasks=63, completed_jobs=58, wall_time=154.03
episode=137, steps=1124, epsilon=0.0100, server_farm_reward=761.1800, server_reward=648.1100, episode_total_reward=1409.2900, avg_reward_per_step=1.2538, rejected_tasks=29, completed_jobs=61, wall_time=191.1
episode=138, steps=972, epsilon=0.0100, server_farm_reward=656.5300, server_reward=559.3600, episode_total_reward=1215.8900, avg_reward_per_step=1.2509, rejected_tasks=38, completed_jobs=59, wall_time=185.91
episode=139, steps=874, epsilon=0.0100, server_farm_reward=552.9700, server_reward=461.5500, episode_total_reward=1014.5200, avg_reward_per_step=1.1608, rejected_tasks=79, completed_jobs=57, wall_time=174.15
episode=140, steps=976, epsilon=0.0100, server_farm_reward=618.5000, server_reward=532.8900, episode_total_reward=1151.3900, avg_reward_per_step=1.1797, rejected_tasks=49, completed_jobs=57, wall_time=152.23
