episode=84, steps=662, server_farm_reward=326.2100, server_reward=262.6800, episode_total_reward=588.8900, avg_reward_per_step=0.8896, rejected_tasks=136, completed_jobs=54, wall_time=147.11, policy_loss=0.0158, value_loss=0.0322
episode=85, steps=914, server_farm_reward=636.4100, server_reward=537.1100, episode_total_reward=1173.5200, avg_reward_per_step=1.2839, rejected_tasks=34, completed_jobs=58, wall_time=197.48, policy_loss=-0.0258, value_loss=0.0054
episode=86, steps=692, server_farm_reward=398.7800, server_reward=325.7800, episode_total_reward=724.5600, avg_reward_per_step=1.0471, rejected_tasks=90, completed_jobs=54, wall_time=157.86, policy_loss=-0.0045, value_loss=0.0175
episode=87, steps=772, server_farm_reward=491.6900, server_reward=419.1000, episode_total_reward=910.7900, avg_reward_per_step=1.1798, rejected_tasks=65, completed_jobs=54, wall_time=174.27, policy_loss=-0.0217, value_loss=0.0099
episode=88, steps=816, server_farm_reward=525.9900, server_reward=448.9300, episode_total_reward=974.9200, avg_reward_per_step=1.1948, rejected_tasks=64, completed_jobs=55, wall_time=163.56, policy_loss=-0.0246, value_loss=0.0080
episode=89, steps=714, server_farm_reward=431.1600, server_reward=351.9100, episode_total_reward=783.0700, avg_reward_per_step=1.0967, rejected_tasks=59, completed_jobs=55, wall_time=182.33, policy_loss=-0.0201, value_loss=0.0134
episode=90, steps=718, server_farm_reward=422.0800, server_reward=347.9100, episode_total_reward=769.9900, avg_reward_per_step=1.0724, rejected_tasks=86, completed_jobs=55, wall_time=152.37, policy_loss=-0.0102, value_loss=0.0181
episode=91, steps=960, server_farm_reward=622.1100, server_reward=529.6300, episode_total_reward=1151.7400, avg_reward_per_step=1.1997, rejected_tasks=44, completed_jobs=58, wall_time=171.33, policy_loss=-0.0328, value_loss=0.0094
episode=92, steps=734, server_farm_reward=448.2800, server_reward=383.2700, episode_total_reward=831.5500, avg_reward_per_step=1.1329, rejected_tasks=93, completed_jobs=53, wall_time=154.3, policy_loss=-0.0191, value_loss=0.0110
episode=93, steps=776, server_farm_reward=458.8700, server_reward=373.3700, episode_total_reward=832.2400, avg_reward_per_step=1.0725, rejected_tasks=79, completed_jobs=56, wall_time=157.26, policy_loss=-0.0135, value_loss=0.0156
episode=94, steps=602, server_farm_reward=291.9700, server_reward=242.4400, episode_total_reward=534.4100, avg_reward_per_step=0.8877, rejected_tasks=115, completed_jobs=49, wall_time=155.5, policy_loss=-0.0037, value_loss=0.0239
episode=95, steps=710, server_farm_reward=379.2800, server_reward=314.1800, episode_total_reward=693.4600, avg_reward_per_step=0.9767, rejected_tasks=151, completed_jobs=54, wall_time=152.3, policy_loss=-0.0045, value_loss=0.0217
episode=96, steps=804, server_farm_reward=495.4400, server_reward=409.5700, episode_total_reward=905.0100, avg_reward_per_step=1.1256, rejected_tasks=77, completed_jobs=57, wall_time=187.03, policy_loss=-0.0205, value_loss=0.0144
episode=97, steps=688, server_farm_reward=340.1100, server_reward=291.2400, episode_total_reward=631.3500, avg_reward_per_step=0.9177, rejected_tasks=151, completed_jobs=52, wall_time=167.09, policy_loss=-0.0070, value_loss=0.0194
episode=98, steps=960, server_farm_reward=595.7100, server_reward=513.5800, episode_total_reward=1109.2900, avg_reward_per_step=1.1555, rejected_tasks=51, completed_jobs=56, wall_time=155.27, policy_loss=-0.0266, value_loss=0.0137
episode=99, steps=748, server_farm_reward=413.4200, server_reward=346.9100, episode_total_reward=760.3300, avg_reward_per_step=1.0165, rejected_tasks=93, completed_jobs=51, wall_time=159.08, policy_loss=-0.0123, value_loss=0.0202
episode=100, steps=640, server_farm_reward=364.9900, server_reward=300.7200, episode_total_reward=665.7100, avg_reward_per_step=1.0402, rejected_tasks=86, completed_jobs=54, wall_time=145.99, policy_loss=-0.0080, value_loss=0.0206
episode=101, steps=914, server_farm_reward=586.2000, server_reward=505.0100, episode_total_reward=1091.2100, avg_reward_per_step=1.1939, rejected_tasks=78, completed_jobs=57, wall_time=178.26, policy_loss=-0.0272, value_loss=0.0102
